,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
457,Asia,,2007-01-01,7,2007-01
458,Asia,,2007-01-02,0,2007-01
459,Asia,,2007-01-03,11,2007-01
460,Asia,,2007-01-04,2,2007-01
461,Asia,,2007-01-05,8,2007-01
462,Asia,,2007-01-06,6,2007-01
463,Asia,,2007-01-07,3,2007-01
464,Asia,,2007-01-08,4,2007-01
465,Asia,,2007-01-09,2,2007-01
466,Asia,,2007-01-10,7,2007-01
467,Asia,,2007-01-11,4,2007-01
468,Asia,,2007-01-12,6,2007-01
469,Asia,,2008-01-01,13,2008-01
470,Asia,,2008-01-02,8,2008-01
471,Asia,,2008-01-03,4,2008-01
472,Asia,,2008-01-04,1,2008-01
473,Asia,,2008-01-05,2,2008-01
474,Asia,,2008-01-06,0,2008-01
475,Asia,,2008-01-07,2,2008-01
476,Asia,,2008-01-08,0,2008-01
477,Asia,,2008-01-09,0,2008-01
478,Asia,,2008-01-10,0,2008-01
479,Asia,,2008-01-11,3,2008-01
480,Asia,,2008-01-12,4,2008-01
481,Asia,,2009-01-01,14,2009-01
482,Asia,,2009-01-02,6,2009-01
483,Asia,,2009-01-03,1,2009-01
484,Asia,,2009-01-04,2,2009-01
485,Asia,,2009-01-05,3,2009-01
486,Asia,,2009-01-06,1,2009-01
487,Asia,,2009-01-07,0,2009-01
488,Asia,,2009-01-08,0,2009-01
489,Asia,,2009-01-09,2,2009-01
490,Asia,,2009-01-10,0,2009-01
491,Asia,,2009-01-11,1,2009-01
492,Asia,,2009-01-12,2,2009-01
493,Asia,,2010-01-01,2,2010-01
494,Asia,,2010-01-02,3,2010-01
495,Asia,,2010-01-03,3,2010-01
496,Asia,,2010-01-04,3,2010-01
497,Asia,,2010-01-05,2,2010-01
498,Asia,,2010-01-06,1,2010-01
499,Asia,,2010-01-07,1,2010-01
500,Asia,,2010-01-08,1,2010-01
501,Asia,,2010-01-09,1,2010-01
502,Asia,,2010-01-10,0,2010-01
503,Asia,,2010-01-11,2,2010-01
504,Asia,,2010-01-12,0,2010-01
505,Asia,,2011-01-01,2,2011-01
506,Asia,,2011-01-02,4,2011-01
507,Asia,,2011-01-03,5,2011-01
508,Asia,,2011-01-04,3,2011-01
509,Asia,,2011-01-05,1,2011-01
510,Asia,,2011-01-06,0,2011-01
511,Asia,,2011-01-07,1,2011-01
512,Asia,,2011-01-08,2,2011-01
513,Asia,,2011-01-09,2,2011-01
514,Asia,,2011-01-10,1,2011-01
515,Asia,,2011-01-11,0,2011-01
516,Asia,,2011-01-12,2,2011-01
517,Asia,,2012-01-01,3,2012-01
518,Asia,,2012-01-02,7,2012-01
519,Asia,,2012-01-03,8,2012-01
520,Asia,,2012-01-04,1,2012-01
521,Asia,,2012-01-05,2,2012-01
522,Asia,,2012-01-06,1,2012-01
523,Asia,,2012-01-07,1,2012-01
524,Asia,,2012-01-08,0,2012-01
525,Asia,,2012-01-09,0,2012-01
526,Asia,,2012-01-10,0,2012-01
527,Asia,,2012-01-11,1,2012-01
528,Asia,,2012-01-12,0,2012-01
529,Asia,,2013-01-01,8,2013-01
530,Asia,,2013-01-02,6,2013-01
531,Asia,,2013-01-03,2,2013-01
532,Asia,,2013-01-04,1,2013-01
533,Asia,,2013-01-05,0,2013-01
534,Asia,,2013-01-06,3,2013-01
535,Asia,,2013-01-07,3,2013-01
536,Asia,,2013-01-08,2,2013-01
537,Asia,,2013-01-09,4,2013-01
538,Asia,,2013-01-10,3,2013-01
539,Asia,,2013-01-11,2,2013-01
540,Asia,,2013-01-12,0,2013-01
541,Asia,,2014-01-01,6,2014-01
542,Asia,,2014-01-02,5,2014-01
543,Asia,,2014-01-03,2,2014-01
544,Asia,,2014-01-04,1,2014-01
545,Asia,,2014-01-05,0,2014-01
546,Asia,,2014-01-06,1,2014-01
547,Asia,,2014-01-07,0,2014-01
548,Asia,,2014-01-08,0,2014-01
549,Asia,,2014-01-09,0,2014-01
550,Asia,,2014-01-10,0,2014-01
551,Asia,,2014-01-11,0,2014-01
552,Asia,,2014-01-12,0,2014-01
553,Asia,,2015-01-01,1,2015-01
554,Asia,,2015-01-02,1,2015-01
555,Asia,,2015-01-03,5,2015-01
